"","GS","ganancia_peso"
"1165","16",73.67
"1166","16",73.67
"1167","13",73.69
"1168","13",73.74
"1169","16",73.82
"1170","16",73.85
"1171","16",73.89
"1172","16",73.91
"1173","16",73.92
"1174","16",73.93
"1175","13",73.97
"1176","16",73.99
"1177","16",74
"1178","13",74.01
"1179","13",74.02
"1180","16",74.03
"1181","16",74.05
"1182","16",74.07
"1183","13",74.08
"1184","16",74.12
"1185","16",74.13
"1186","16",74.16
"1187","16",74.2
"1188","13",74.21
"1189","16",74.22
"1190","16",74.23
"1191","16",74.23
"1192","13",74.24
"1193","13",74.24
"1194","13",74.25
"1195","16",74.25
"1196","16",74.32
"1197","16",74.38
"1198","16",74.38
"1199","16",74.39
"1200","16",74.4
"1201","16",74.41
"1202","16",74.42
"1203","16",74.44
"1204","16",74.45
"1205","16",74.45
"1206","16",74.46
"1207","16",74.47
"1208","16",74.5
"1209","16",74.51
"1210","16",74.51
"1211","16",74.51
"1212","16",74.52
"1213","16",74.55
"1214","16",74.56
"1215","13",74.57
"1216","13",74.59
"1217","16",74.6
"1218","16",74.61
"1219","16",74.63
"1220","16",74.63
"1221","16",74.64
"1222","16",74.65
"1223","16",74.67
"1224","16",74.68
"1225","16",74.68
"1226","16",74.69
"1227","18",74.71
"1228","16",74.71
"1229","16",74.73
"1230","16",74.73
"1231","16",74.77
"1232","13",74.78
"1233","16",74.79
"1234","18",74.8
"1235","16",74.82
"1236","16",74.83
"1237","16",74.87
"1238","16",74.89
"1239","16",74.89
"1240","16",74.95
"1241","16",74.97
"1242","13",74.97
"1243","13",75.01
"1244","16",75.01
"1245","16",75.03
"1246","16",75.07
"1247","16",75.07
"1248","16",75.1
"1249","16",75.13
"1250","16",75.14
"1251","16",75.15
"1252","16",75.16
"1253","16",75.24
"1254","16",75.25
"1255","16",75.25
"1256","13",75.27
"1257","16",75.39
"1258","16",75.39
"1259","16",75.4
"1260","16",75.4
"1261","16",75.44
"1262","16",75.48
"1263","16",75.49
"1264","16",75.5
"1265","16",75.51
"1266","16",75.52
"1267","16",75.52
"1268","16",75.53
"1269","16",75.54
"1270","16",75.56
"1271","16",75.58
"1272","16",75.58
"1273","16",75.6
"1274","16",75.63
"1275","13",75.64
"1276","13",75.69
"1277","16",75.71
"1278","16",75.71
"1279","16",75.72
"1280","18",75.73
"1281","13",75.75
"1282","16",75.78
"1283","13",75.8
"1284","16",75.86
"1285","13",75.95
"1286","16",75.96
"1287","16",75.96
"1288","16",75.97
"1289","16",75.97
"1290","16",75.99
"1291","18",76.02
"1292","16",76.04
"1293","16",76.06
"1294","16",76.11
"1295","16",76.13
"1296","16",76.15
"1297","16",76.17
"1298","16",76.17
"1299","16",76.18
"1300","13",76.18
"1301","16",76.18
"1302","16",76.23
"1303","18",76.23
"1304","16",76.24
"1305","13",76.25
"1306","13",76.26
"1307","16",76.27
"1308","16",76.28
"1309","16",76.38
"1310","16",76.4
"1311","16",76.42
"1312","13",76.46
"1313","16",76.47
"1314","16",76.47
"1315","16",76.49
"1316","16",76.52
"1317","16",76.52
"1318","16",76.53
"1319","16",76.53
"1320","16",76.53
"1321","16",76.54
"1322","13",76.54
"1323","16",76.56
"1324","16",76.58
"1325","16",76.59
"1326","16",76.62
"1327","16",76.64
"1328","16",76.66
"1329","16",76.7
"1330","13",76.71
"1331","16",76.74
"1332","16",76.75
"1333","16",76.76
"1334","16",76.78
"1335","16",76.8
"1336","16",76.82
"1337","16",76.83
"1338","16",76.9
"1339","16",76.93
"1340","16",76.95
"1341","16",76.96
"1342","16",76.97
"1343","16",76.98
"1344","16",76.98
"1345","16",77.01
"1346","16",77.02
"1347","16",77.03
"1348","16",77.04
"1349","16",77.09
"1350","16",77.14
"1351","16",77.15
"1352","16",77.21
"1353","13",77.23
"1354","13",77.23
"1355","16",77.24
"1356","16",77.25
"1357","16",77.28
"1358","16",77.28
"1359","16",77.31
"1360","16",77.31
"1361","13",77.31
